PARROQUIA,ZONA,MES,DIA_SEMANA,HORA_NUM,ACCIDENTES,PROM_LESIONADOS,PROM_FALLECIDOS,PROM_TOTAL_VICTIMAS,CAUSA_MAS_FRECUENTE,TIPO_SINIESTRO_MAS_FRECUENTE,TIPO_VEHICULO_MAS_FRECUENTE,LATITUD_PROM,LONGITUD_PROM,RIESGO_PORC,NIVEL_RIESGO
CHIQUINTAD,RURAL,9,6,3,1,1.0,0.0,1.0,"CONDUCIR DESATENTO A LAS CONDICIONES DE TRÁNSITO (CELULAR, PANTALLAS DE VIDEO, COMIDA, MAQUILLAJE O CUALQUIER OTRO ELEMENTO DISTRACTOR).",PÉRDIDA DE PISTA,NO IDENTIFICADO,-2.818672,-78.992601,20.0,BAJO
CHIQUINTAD,URBANA,6,3,17,1,1.0,0.0,1.0,CONDUCIR VEHÍCULO SUPERANDO LOS LÍMITES MÁXIMOS DE VELOCIDAD.,PÉRDIDA DE PISTA,NO IDENTIFICADO,-2.835485,-78.986021,20.0,BAJO
CHIQUINTAD,URBANA,6,6,7,1,1.0,0.0,1.0,CONDUCIR VEHÍCULO SUPERANDO LOS LÍMITES MÁXIMOS DE VELOCIDAD.,PÉRDIDA DE PISTA,AUTOMÓVIL,-2.846637,-78.986651,20.0,BAJO
CHIQUINTAD,URBANA,7,4,22,1,2.0,0.0,2.0,"CONDUCE BAJO LA INFLUENCIA DE ALCOHOL, SUSTANCIAS ESTUPEFACIENTES O PSICOTRÓPICAS Y/O MEDICAMENTOS.",ESTRELLAMIENTOS,AUTOMÓVIL,-2.850763,-78.986007,20.0,BAJO
CHIQUINTAD,URBANA,12,4,7,1,0.0,0.0,0.0,"CONDUCIR DESATENTO A LAS CONDICIONES DE TRÁNSITO (CELULAR, PANTALLAS DE VIDEO, COMIDA, MAQUILLAJE O CUALQUIER OTRO ELEMENTO DISTRACTOR).",CHOQUE LATERAL,AUTOMÓVIL,-2.142609,-79.934241,20.0,BAJO
CUENCA,RURAL,1,6,10,1,2.0,0.0,2.0,NO CEDER EL DERECHO DE VÍA O PREFERENCIA DE PASO A VEHÍCULOS.,CHOQUE LATERAL,NO IDENTIFICADO,-2.879897,-79.067129,20.0,BAJO
CUENCA,RURAL,2,0,21,1,0.0,0.0,0.0,"CONDUCE BAJO LA INFLUENCIA DE ALCOHOL, SUSTANCIAS ESTUPEFACIENTES O PSICOTRÓPICAS Y/O MEDICAMENTOS.",ROZAMIENTOS,CAMIONETA,-2.878253,-79.059741,20.0,BAJO
CUENCA,RURAL,2,1,15,1,1.0,0.0,1.0,NO TRANSITAR POR LAS ACERAS O ZONAS DE SEGURIDAD DESTINADAS PARA EL EFECTO.,ATROPELLOS,NO IDENTIFICADO,-2.86269,-78.936864,20.0,BAJO
CUENCA,RURAL,3,0,0,1,0.0,0.0,0.0,"CONDUCIR DESATENTO A LAS CONDICIONES DE TRÁNSITO (CELULAR, PANTALLAS DE VIDEO, COMIDA, MAQUILLAJE O CUALQUIER OTRO ELEMENTO DISTRACTOR).",PÉRDIDA DE PISTA,CAMIONETA,-2.887596,-78.951466,20.0,BAJO
CUENCA,RURAL,3,0,22,1,1.0,0.0,1.0,REALIZAR CAMBIO BRUSCO O INDEBIDO DE CARRIL.,CHOQUE LATERAL,MOTOCICLETA,-2.844161,-78.906212,20.0,BAJO
CUENCA,RURAL,3,1,18,1,1.0,0.0,1.0,CONDUCIR EN SENTIDO CONTRARIO A LA VÍA NORMAL DE CIRCULACIÓN.,CHOQUE FRONTAL,MOTOCICLETA,-2.932662,-79.044078,20.0,BAJO
CUENCA,RURAL,3,6,5,1,0.0,0.0,0.0,"CONDUCIR DESATENTO A LAS CONDICIONES DE TRÁNSITO (CELULAR, PANTALLAS DE VIDEO, COMIDA, MAQUILLAJE O CUALQUIER OTRO ELEMENTO DISTRACTOR).",PÉRDIDA DE PISTA,VEHÍCULO DEPORTIVO UTILITARIO,-2.885287,-79.043123,20.0,BAJO
CUENCA,RURAL,4,1,16,1,1.0,0.0,1.0,"CONDUCIR DESATENTO A LAS CONDICIONES DE TRÁNSITO (CELULAR, PANTALLAS DE VIDEO, COMIDA, MAQUILLAJE O CUALQUIER OTRO ELEMENTO DISTRACTOR).",PÉRDIDA DE CARRIL,CAMIONETA,-2.89587973,-78.96230177,20.0,BAJO
CUENCA,RURAL,4,2,8,1,1.0,0.0,1.0,"NO RESPETAR LAS SEÑALES REGLAMENTARIAS DE TRÁNSITO. (PARE, CEDA EL PASO, LUZ ROJA DEL SEMAFORO, ETC).",CHOQUE LATERAL,AUTOMÓVIL,-2.89771876,-78.96408238,20.0,BAJO
