FECHA,HORA,CANTON,PARROQUIA,ZONA,LATITUD_Y,LONGITUD_X,DIRECCION,TIPO_DE_SINIESTRO,CAUSA_PROBABLE,TIPO_DE_VEHICULO_1,LESIONADOS,FALLECIDOS,FERIADO,ANIO,MES,DIA,DIA_SEMANA,NOMBRE_DIA,HORA_DECIMAL,HORA_NUM,RANGO_HORARIO,TOTAL_VICTIMAS,NUM_ACCIDENTES,RIESGO_PORCENTAJE,NIVEL_RIESGO
2024-10-20,22:11:00,CUENCA,LLACAO,URBANA,-2.841209,-78.88763,PANAMERICANA NORTE Y VIA A JADAN,ESTRELLAMIENTOS,"NO RESPETAR LAS SEÑALES REGLAMENTARIAS DE TRÁNSITO. (PARE, CEDA EL PASO, LUZ ROJA DEL SEMAFORO, ETC).",MOTOCICLETA,1,0,NO,2024,10,20,6,DOMINGO,22.183333333333334,22,NOCHE,1,1,9.09,BAJO
2024-10-21,07:58:00,CUENCA,CUENCA,URBANA,-2.897576,-79.022517,AVENIDA  REMIGIO CRESPO TORAL Y IMBABURA,ATROPELLOS,NO CEDER EL DERECHO DE VÍA O PREFERENCIA DE PASO AL PEATÓN.,VEHÍCULO DEPORTIVO UTILITARIO,1,0,NO,2024,10,21,0,LUNES,7.966666666666667,7,MANANA,1,4,36.36,BAJO
2024-10-21,18:51:00,CUENCA,OCTAVIO CORDERO PALACIOS,URBANA,-2.796272,-78.949085,VIA A DELEG Y NINGUNA,ESTRELLAMIENTOS,"NO RESPETAR LAS SEÑALES REGLAMENTARIAS DE TRÁNSITO. (PARE, CEDA EL PASO, LUZ ROJA DEL SEMAFORO, ETC).",NO IDENTIFICADO,1,0,NO,2024,10,21,0,LUNES,18.85,18,NOCHE,1,1,9.09,BAJO
2024-10-21,19:03:00,CUENCA,RICAURTE (CUENCA),URBANA,-2.86371,-78.962528,ALEJANDRO PADILLA Y FEDERICO SANCHEZ,CHOQUE LATERAL,"NO RESPETAR LAS SEÑALES REGLAMENTARIAS DE TRÁNSITO. (PARE, CEDA EL PASO, LUZ ROJA DEL SEMAFORO, ETC).",MOTOCICLETA,1,0,NO,2024,10,21,0,LUNES,19.05,19,NOCHE,1,1,9.09,BAJO
2024-10-22,05:46:00,CUENCA,CUENCA,URBANA,-2.881848,-79.025098,AV ABELARDO J ANDRADE Y C.EMILIO LOPEZ ORTEGA,CHOQUE LATERAL,"CONDUCIR DESATENTO A LAS CONDICIONES DE TRÁNSITO (CELULAR, PANTALLAS DE VIDEO, COMIDA, MAQUILLAJE O CUALQUIER OTRO ELEMENTO DISTRACTOR).",NO IDENTIFICADO,1,0,NO,2024,10,22,1,MARTES,5.766666666666667,5,MADRUGADA,1,2,18.18,BAJO
2024-10-22,09:52:00,CUENCA,CUENCA,URBANA,-2.887784,-79.007657,AV.HÉROES DE VERDELOMA Y NICANOR MERCHAN,ATROPELLOS,NO CEDER EL DERECHO DE VÍA O PREFERENCIA DE PASO A VEHÍCULOS.,NO IDENTIFICADO,0,1,NO,2024,10,22,1,MARTES,9.866666666666667,9,MANANA,1,2,18.18,BAJO
2024-10-22,20:06:00,CUENCA,CUENCA,URBANA,-2.902833,-79.020034,AVENIDA PICHINCHA Y AVENIDA LOJA,CHOQUE LATERAL,"NO RESPETAR LAS SEÑALES REGLAMENTARIAS DE TRÁNSITO. (PARE, CEDA EL PASO, LUZ ROJA DEL SEMAFORO, ETC).",AUTOMÓVIL,0,0,NO,2024,10,22,1,MARTES,20.1,20,NOCHE,0,4,36.36,BAJO
2024-10-22,21:37:00,CUENCA,CUENCA,URBANA,-2.893512,-78.993797,AVENIDA ESPAÑA Y SEBASTIAN DE BENALCAZAR,CHOQUE LATERAL,"NO RESPETAR LAS SEÑALES REGLAMENTARIAS DE TRÁNSITO. (PARE, CEDA EL PASO, LUZ ROJA DEL SEMAFORO, ETC).",FURGONETA,3,0,NO,2024,10,22,1,MARTES,21.616666666666667,21,NOCHE,3,4,36.36,BAJO
2024-10-23,15:08:00,CUENCA,CUENCA,URBANA,-2.917004,-79.031112,RODRIGO DE TRIANA Y LA PINTA,CHOQUE LATERAL,"NO RESPETAR LAS SEÑALES REGLAMENTARIAS DE TRÁNSITO. (PARE, CEDA EL PASO, LUZ ROJA DEL SEMAFORO, ETC).",AUTOMÓVIL,3,0,NO,2024,10,23,2,MIERCOLES,15.133333333333333,15,TARDE,3,5,45.45,MEDIO
2024-10-24,06:20:00,CUENCA,CUENCA,URBANA,-2.867923,-78.984216,AV. DEL TORIL Y CAMINO A PATAMARCA,CHOQUE LATERAL,"NO RESPETAR LAS SEÑALES REGLAMENTARIAS DE TRÁNSITO. (PARE, CEDA EL PASO, LUZ ROJA DEL SEMAFORO, ETC).",NO IDENTIFICADO,1,0,NO,2024,10,24,3,JUEVES,6.333333333333333,6,MANANA,1,8,72.73,ALTO
